ProdCode,Description,WS Size,Pack Size,Price,RRP,POR,Min Shelf Life (days),Marked as Promo,In Stock,Inner Barcode,Outer Barcode,Product Group,Category
103776,Mccolgan S Minced Steak & Onion Pie,6,500g,£17.80,£4.00,25.83,8,Y,NA,5014234082829	,5014234083826	,Chilled Foods," Chilled, Fresh & Frozen"
103780,Mccolgan S Quiche Lorraine,6,400g,£18.00,£4.00,25.00,5,Y,NA,5014234085011	,5014234086018	,Chilled Foods," Chilled, Fresh & Frozen"
103783,Mccolgan S Special Braised Steak & Gravy Pie,6,500g,£17.80,£4.00,25.83,8,Y,NA,5014234082836	,5014234083833	,Chilled Foods," Chilled, Fresh & Frozen"
902531,Mulligans Large Cheese Burgers 2 Pk,6,295g,£13.72,£3.00,23.78,12,Y,NA,5018222001168	,05018222001175	,Chilled Foods," Chilled, Fresh & Frozen"
103781,Mccolgan S Jumbo Sausage Rolls 4 Pack,6,320g,£9.00,£2.00,25.00,8,Y,NA,5014234082973	,5014234083970	,Chilled Foods," Chilled, Fresh & Frozen"
909679,Meat Market Steak Black Pepper Sausages 8pk,4,400g,£10.00,£3.49,28.37,6,Y,NA,5060393478249	,5060393478256	,Chilled Foods," Chilled, Fresh & Frozen"
914004,Mash Direct Skinny Fries,6,250g,£8.00,£1.70,21.57,6,Y,NA,5060072994695	,05060072994701	,Chilled Foods," Chilled, Fresh & Frozen"
104700,Mccolgan S Cottage Pie,6,190g,£7.20,£1.50,20.00,5,Y,NA,5014234085547	,5014234086544	,Chilled Foods," Chilled, Fresh & Frozen"
103758,Mccolgan S 4 Large Sausage Rolls,6,240g,£7.50,£1.69,26.04,8,Y,NA,5014234085219	,5014234086216	,Chilled Foods," Chilled, Fresh & Frozen"
103908,Mash Direct Southern Fried Potatoes,6,300g,£9.50,£2.00,20.83,6,Y,NA,5060072990789	,5060072993773	,Chilled Foods," Chilled, Fresh & Frozen"
104698,Mccolgan S Chicken & Ham Pie,6,190g,£7.20,£1.50,20.00,8,Y,NA,5014234085523	,5014234086520	,Chilled Foods," Chilled, Fresh & Frozen"
103769,Mccolgan S Chicken & Ham Pie,6,500g,£17.80,£4.00,25.83,8,Y,NA,5014234082843	,5014234083840	,Chilled Foods," Chilled, Fresh & Frozen"
