Station,Postcode,Latitude,Longitude,Owner
Halifax,HX1 1QE,53.72096205,-1.853574933,Northern Trains
Hall Green,B28 8AA,52.43691069,-1.845651069,West Midlands Trains (West Midlands Railway)
Hall Road,L23 8TU,53.49748905,-3.04962756,Merseyrail
Hall-I'-Th'-Wood,BL1 8UF,53.59742499,-2.413109996,Northern Trains
Halling,ME1 1BN,51.35247539,0.444931769,Southeastern
Haltwhistle,NE49 0AH,54.96785145,-2.463565319,Northern Trains
Ham Street,TN26 2DU,51.06837545,0.854506282,Govia Thameslink Railway (Southern)
Hamble,SO31 4NL,50.87137507,-1.329162164,South Western Railway
Hamilton Central,ML3 6PB,55.77319832,-4.038885714,ScotRail
Hamilton West,ML3 0DA,55.77886458,-4.054809037,ScotRail
Hammerton,Y26 8DG,53.9963303,-1.284095688,Northern Trains
Hampden Park (Sussex),BN22 9ND,50.79640376,0.279355782,Govia Thameslink Railway (Southern)
Hampstead Heath,NW3 2QD,51.55520875,-0.165705424,London Overground
Hampton,TW12 2HU,51.41593328,-0.372118964,South Western Railway
Hampton Court,KT8 9AE,51.40255453,-0.342747731,South Western Railway
Hampton Wick,KT1 4DQ,51.41452329,-0.312489539,South Western Railway
Hampton-In-Arden,B92 0BJ,52.42903423,-1.699930749,West Midlands Trains (West Midlands Railway)
Hamstead (Birmingham),B42 1NJ,52.53106989,-1.92897794,West Midlands Trains (West Midlands Railway)
Hamworthy,BH16 5AA,50.72519344,-2.01935721,South Western Railway
Hanborough,OX29 8LA,51.82515867,-1.373525558,Great Western Railway
Handforth,SK9 3AB,53.34649516,-2.213633583,Northern Trains
Hanwell,W7 3EB,51.5118338,-0.338583505,TfL Rail
Hapton,BB12 7LG,53.78161621,-2.316911701,Northern Trains
Harlech,LL46 2UL,52.86133356,-4.109191396,TfW Rail
Harlesden,NW10 7AA,51.53628786,-0.257667576,London Underground
Harling Road,NR16 2QP,52.45368673,0.909142232,Greater Anglia
Harlington (Bedfordshire),LU5 6LD,51.96206118,-0.495689942,Govia Thameslink Railway (Thameslink)
Harlow Mill,CM20 2EL,51.79036355,0.13230755,Greater Anglia
