Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit,Home Bargains,Promotion
9.10001E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Spray On Shine,£5.00,£5.00,£5.00/lt,Each,NO,
1.0001E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Dashboard Cleaner,£2.00,£2.00,£4.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Microfibre Cleaning Cloths,£4.00,£4.00,£4.00/each,Each,NO,
9.1E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Car Polish,£4.00,£4.00,£8.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Microfiber 4 Pack,£2.50,£2.50,62.5p/each,Each,NO,
1.0001E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Dash Shine,£4.00,£4.00,£8.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Microfibre Sponge,£2.50,£2.50,£2.50/each,Each,NO,
9.10003E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,T-Cut Rapid Scratch Remover,£7.00,£7.00,£14.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive 6 Piece Car Cleaning Kit,£8.00,£8.00,£8.00/each,Each,NO,
1.0001E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Fabric Upholstery Shampoo,£5.00,£5.00,£5.00/lt,Each,NO,
1.0001E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Fabric Cleaner,£4.00,£4.00,£8.00/lt,Each,NO,
9.10001E+11,50768257,Home & Entertainment,DIY & Car Care,Demon Foam Snow Foam Car Shampoo with Gun,£8.00,£8.00,£4.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Microfibre Edgeless Towels 10Pk,£7.00,£7.00,70.0p/each,Each,NO,
9.1E+11,5.02635E+12,Home & Entertainment,DIY & Car Care,Rain-X 2-in-1 Glass Cleaner + Rain Repellent,£5.00,£5.00,£10.00/lt,Each,NO,
9.1E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Liquid Gold Self-Drying Car Shampoo,£4.50,£4.50,£9.00/lt,Each,NO,
9.10001E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Wash Snow Foam Shampoo,£6.50,£6.50,£6.50/lt,Each,NO,
1.0001E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Glass Cleaner,£4.00,£4.00,£4.00/lt,Each,NO,
9.10001E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Waterless Wash & Shine,£5.00,£5.00,£5.00/lt,Each,NO,
6706147,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Wash & Wax,£3.50,£3.50,£3.50/lt,Each,NO,
1.00003E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Car Shampoo,£5.00,£5.00,£2.50/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Sponges,£1.50,£1.50,50.0p/each,Each,NO,
1.00002E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Wash N Wax,£4.50,£4.50,£1.80/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,ASDA Summer Screenwash 5Ltr,£2.75,£2.75,55.0p/lt,Each,NO,
1.00034E+12,7.6389E+12,Home & Entertainment,DIY & Car Care,Metal Rechargeable LED Torch,£10.00,£10.00,£10.00/each,Each,NO,
1.00034E+12,7.6389E+12,Home & Entertainment,DIY & Car Care,"Energizer Vision Head Torch with 3 LEDs, 3 AAA alkaline batteries included",£10.00,£10.00,£10.00/each,Each,NO,
9.10001E+11,5.02282E+12,Home & Entertainment,DIY & Car Care,Status 6 Amp Ceiling Switch with Pull Cord,£2.50,£2.50,£2.50/each,Each,NO,
9.10001E+11,5.02282E+12,Home & Entertainment,DIY & Car Care,Status Ceiling Rose Batten Holder,£5.00,£5.00,£5.00/each,Each,NO,
1.00027E+12,5.05769E+12,Home & Entertainment,DIY & Car Care,JML Handy Brite Work Light,£14.97,£14.97,£14.97/each,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough 4 Pack LED Puck Lights,£10.00,£10.00,£10.00/each,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough 300 Lumen LED Torch,£10.00,£10.00,£10.00/each,Each,NO,
1.00034E+12,7.6389E+12,Home & Entertainment,DIY & Car Care,Energizer Vision HD Metal Torch with 2 AA alkaline batteries included,£15.00,£15.00,£15.00/each,Each,NO,
1.0002E+12,5.05769E+12,Home & Entertainment,JML,JML Handy Brite: Cordless LED Light,£9.97,£9.97,£9.97/each,Each,NO,
1.00034E+12,7.6389E+12,Home & Entertainment,DIY & Car Care,Energizer Impact Torch with 2 AA batteries included,£10.00,£10.00,£10.00/each,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough Touch Light,£5.00,£5.00,£5.00/each,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough Puck Work Light,£3.00,£3.00,£3.00/each,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough 80 Lumen Basic LED Torch,£5.00,£5.00,£5.00/each,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough 100 Lumen Head Torch,£5.00,£5.00,£5.00/each,Each,NO,
1.00016E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Hyper Tough 250 Lumens Aluminium Torch,£7.00,£7.00,£7.00/each,Each,NO,
1.00017E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,T-Cut Original Tin,£6.00,£6.00,£2.00/100ml,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive 5W-30 Psa Fully Synthetic Engline Oil,£15.00,£15.00,£7.50/lt,Each,NO,
1.00001E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Fully Synth 5W30 Oil - Ford,£17.00,£17.00,£8.50/lt,Each,NO,
1.00001E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Fully Synth 5W30 Oil,£33.00,£33.00,£6.60/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Motorcycle Oil,£7.00,£7.00,£7.00/lt,Each,NO,
1.00025E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Carlube Triple R 5W30 Fully Synthetic Vw 4L,£32.00,£32.00,£8.00/lt,Each,NO,
1.00028E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,10W-40 Premium 1L,£12.00,£12.00,£12.00/lt,Each,NO,
1.0003E+12,5.01022E+12,Home & Entertainment,DIY & Car Care,Redex Pre-MOT Emissions Reducer Petrol,£7.00,£7.00,£28.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Handy Oil,£2.00,£2.00,£16.00/lt,Each,NO,
1.00028E+12,4.00818E+12,Home & Entertainment,DIY & Car Care,Castrol EDGE 5W-30 LL,£16.00,£16.00,£16.00/lt,Each,NO,
1.00025E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Carlube Triple R 5W30 Fully Synthetic Vw 1L,£14.00,£14.00,£14.00/lt,Each,NO,
1.0003E+12,5.01022E+12,Home & Entertainment,DIY & Car Care,Redex Pre-MOT Emissions Reducer Diesel,£7.00,£7.00,£28.00/lt,Each,NO,
1.00025E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Carlube Triple R 5W40 Fully Synthetic 4L,£20.00,£20.00,£5.00/lt,Each,NO,
1.00034E+12,5.01022E+12,Home & Entertainment,DIY & Car Care,Redex Diesel Booster,£8.00,£8.00,£32.00/lt,Each,NO,
9.1E+11,5.02635E+12,Home & Entertainment,DIY & Car Care,Rain-X Anti-Fog,£4.00,£4.00,£20.00/lt,Each,NO,
1.00025E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Carlube Triple R 15W40 High Mileage 1L,£9.00,£9.00,£9.00/lt,Each,NO,
1.0003E+12,5.01022E+12,Home & Entertainment,DIY & Car Care,Redex Diesel Particular Filter Cleaner 250ml,£8.50,£8.50,£34.00/lt,Each,NO,
1.0003E+12,5.01022E+12,Home & Entertainment,DIY & Car Care,Redex Petrol Power Booster,£8.00,£8.00,£32.00/lt,Each,NO,
1.00028E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,10W-40 Premium 4L,£22.50,£22.50,£5.62/lt,Each,NO,
9.1E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Carlube Power Steering Fluid,£7.00,£7.00,£1.40/100ml,Each,NO,
1.00028E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,5W-30 Fully Synthetic Ford 1L,£12.00,£12.00,£12.00/lt,Each,NO,
1.00028E+12,50047567,Home & Entertainment,DIY & Car Care,Petrol Injector Cleaner,£4.00,£4.00,£13.33/lt,Each,NO,
1.00006E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Hyper Tough 80 Lumens Alum Mini Torch,£2.00,£2.00,£2.00/each,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Semi Synth Oil,£13.00,£13.00,£6.50/lt,Each,NO,
479457,50552283,Home & Entertainment,DIY & Car Care,Carlube Dot 4 Brake Fluid,£5.00,£5.00,£1.00/100ml,Each,NO,
