Region,Fascia,Source,Postcode,First Postcode,2 Digit Postcode,Talysis Id,Latitude,Longitude,Station,Owner,Rural/urban,London zone
South East England,COSTCUTTER,TCC,SL0 9AZ,SL0,SL,TCC-Z00099,51.50761,-0.5060922,,,,
Scotland,COSTCUTTER,TCC,PA15 4LQ,PA15,PA,TCC-Z00100,55.94426,-4.764778,,,,
Northern Ireland,COSTCUTTER,TCC,BT11 9JQ,BT11,BT,TCC-Z00101,54.56766,-6.010147,,,,
North West England,COSTCUTTER,TCC,BL5 2NN,BL5,BL,TCC-Z00102,53.5423,-2.521313,,,,
North West England,COSTCUTTER,TCC,PR25 2TU,PR25,PR,TCC-Z00103,53.69733,-2.699252,,,,
Wales,COSTCUTTER,TCC,SA47 0NP,SA47,SA,TCC-Z00486,52.19236,-4.311635,,,,
Scotland,COSTCUTTER,TCC,IV27 4BA,IV27,IV,TCC-Z00452,58.01964,-4.406517,,,,
Northern Ireland,COSTCUTTER,TCC,BT78 3AE,BT78,BT,TCC-Z00104,54.51363,-7.459185,,,,
Wales,COSTCUTTER,TCC,SY22 6RE,SY22,SY,TCC-Z00473,52.7587,-3.084883,,,,
London,COSTCUTTER,TCC,SE1 9PU,SE1,SE,TCC-Z00105,51.5064,-0.1116981,,,,
South West England,COSTCUTTER,TCC,TR26 2SX,TR26,TR,TCC-Z00106,50.19295,-5.463275,,,,
South West England,COSTCUTTER,TCC,TR14 8JS,TR14,TR,TCC-Z00107,50.21386,-5.299876,,,,
Northern Ireland,COSTCUTTER,TCC,BT45 5PP,BT45,BT,TCC-Z00351,54.81072,-6.711097,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HU17 5LF,HU17,HU,TCC-Z00108,53.89259,-0.3206177,,,,
South East England,COSTCUTTER,TCC,SO18 5TQ,SO18,SO,TCC-Z00110,50.91444,-1.336481,,,,
North East England,COSTCUTTER,TCC,NE3 2PE,NE3,NE,TCC-Z00112,55.01392,-1.64537,,,,
Northern Ireland,COSTCUTTER,TCC,BT44 9AN,BT44,BT,TCC-Z00113,55.00878,-6.414233,,,,
Northern Ireland,COSTCUTTER,TCC,BT44 0HP,BT44,BT,TCC-Z00114,54.98552,-5.992036,,,,
Scotland,COSTCUTTER,TCC,AB55 4AS,AB55,AB,TCC-Z00115,57.44722,-3.128873,,,,
West Midlands,COSTCUTTER,TCC,CV2 1AB,CV2,CV,TCC-Z00117,52.42837,-1.454284,,,,
North West England,COSTCUTTER,TCC,FY6 7QA,FY6,FY,TCC-Z00118,53.85263,-3.006869,,,,
Wales,COSTCUTTER,TCC,SY23 3SR,SY23,SY,TCC-Z00499,52.40607,-4.056422,,,,
West Midlands,COSTCUTTER,TCC,HR4 8SB,HR4,HR,TCC-Z00119,52.15916,-2.874733,,,,
Northern Ireland,COSTCUTTER,TCC,BT82 9AF,BT82,BT,TCC-Z00400,54.82221,-7.466454,,,,
Scotland,COSTCUTTER,TCC,PA24 8AD,PA24,PA,TCC-Z00121,56.16832,-4.914429,,,,
Yorkshire and the Humber,Costcutter,TCC,S65 2HJ,S65,S,TCC-Z00553,53.43244,-1.326054,,,,
South West England,COSTCUTTER,TCC,BS6 7SN,BS6,BS,TCC-Z00367,51.47819,-2.607863,,,,
North West England,COSTCUTTER,TCC,M21 8TT,M21,M,TCC-Z00122,53.43799,-2.270828,,,,
West Midlands,COSTCUTTER,TCC,B34 6QU,B34,B,TCC-Z00123,52.49838,-1.790227,,,,
South East England,COSTCUTTER,TCC,OX3 0JR,OX3,OX,TCC-Z00429,51.76626,-1.23514,,,,
Scotland,COSTCUTTER,TCC,AB53 6TA,AB53,AB,TCC-Z00125,57.51291,-2.193872,,,,
Scotland,COSTCUTTER,TCC,AB41 7DT,AB41,AB,TCC-Z00127,57.42735,-2.242426,,,,
South East England,COSTCUTTER,TCC,ME9 8RR,ME9,ME,TCC-Z00376,51.37665,0.7291633,,,,
East of England,COSTCUTTER,TCC,SG2 7QX,SG2,SG,TCC-Z00129,51.91608,-0.1612272,,,,
West Midlands,COSTCUTTER,TCC,B62 9HZ,B62,B,TCC-Z00389,52.47291,-2.025911,,,,
Northern Ireland,COSTCUTTER,TCC,BT17 0WE,BT17,BT,TCC-Z00130,54.56213,-6.029944,,,,
Northern Ireland,COSTCUTTER,TCC,BT93 1TF,BT93,BT,TCC-Z00370,54.52182,-7.721992,,,,
London,COSTCUTTER,TCC,UB8 3PH,UB8,UB,TCC-Z00133,51.53285,-0.4728555,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HX6 2NR,HX6,HX,TCC-Z00134,53.71282,-1.908541,,,,
East Midlands,COSTCUTTER,TCC,NN1 4BP,NN1,NN,TCC-Z00135,52.24591,-0.8830256,,,,
